user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
mickfleetwood,6878763511033054213,6879849755204259077,@420doggface208 had it right. Dreams and Cranberry just hits different.           #Dreams #CranberryDreams #FleetwoodMac,1601839889,20,https://www.tiktok.com/@mickfleetwood/video/6879849755204259077?lang=en,1800000,105500,25100,9500000
aarongoldyboy,6784404408140088326,6872809542338596101,#duet with @dmichaelburke #greenscreen #lovestory #fyp #comedyduet #duetcomedy #foryou,1600200680,59,https://www.tiktok.com/@aarongoldyboy/video/6872809542338596101?lang=en,337000,5744,2490,1300000
abimhn,6757970616114070534,6863625541254155526,mochi ice cream or rocks from the beach? 😂 #fyp #MyOrder #mochi #dormfoodfriday #collegecooks #dormlife #collegehack #DateNight,1598062361,56,https://www.tiktok.com/@abimhn/video/6863625541254155526?lang=en,168500,5026,1390,913400
heybriajones,6609395315488342021,6862342029926616325,"So excited I can use the Alexa app to record videos hands free! Alexa, let's @tiktok. @alexa99 #TikTokWithAlexa",1597763517,15,https://www.tiktok.com/@heybriajones/video/6862342029926616325?lang=en,48800,429,658,645400
samuelgrubbs,6734403205457642502,6859886359826468101,"Wait for it... this took us so so long, please don’t let it flop 😭😭 w/@houseofhighlights #foryou #fyp #foryoupage #comedy #viral #tiktok #trending",1597191763,19,https://www.tiktok.com/@samuelgrubbs/video/6859886359826468101?lang=en,2800000,44300,25100,15900000
officialsaweetie,310369745428471808,6851002179902246149,#tapinchallenge #queenfoo @callherhelen 🤪‼️,1595123250,12,https://www.tiktok.com/@officialsaweetie/video/6851002179902246149?lang=en,2700000,25400,15400,16300000
colindarke,6656379061454454790,6850829315836218629,#johnlewis #civilrights #blm #ripjohnlewis,1595083002,32,https://www.tiktok.com/@colindarke/video/6850829315836218629?lang=en,17700,323,764,176000
patrickhanson17,6786291921352836101,6835637364501531909,#trickshot #quarantine #boredinthehouse #fyp #pingpong,1591545849,35,https://www.tiktok.com/@patrickhanson17/video/6835637364501531909?lang=en,687700,7429,2675,15200000
watercolorartist0,6833538715504575494,6840954256544042246,10000 followers a day #watercolor #art #handdrawing #paint,1592783785,22,https://www.tiktok.com/@watercolorartist0/video/6840954256544042246?lang=en,519900,4262,5096,3300000
shaunt,6624148184259477510,6820528865018989829,TRY THIS 10 times and you won’t need to workout today! 🏃🏽🏃🏽🏃🏽🏃🏽🏃🏽#workout #monday #workoutchallenge,1588028128,10,https://www.tiktok.com/@shaunt/video/6820528865018989829?lang=en,248900,3127,792,7600000
