user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
virvirlogo,6850363964103787522,6870517816395599105,Jangan berbohong kalian kaum hawa #fypシ #foryou #temenlangka,1599667090,17,https://www.tiktok.com/@virvirlogo/video/6870517816395599105?lang=en,37300,190,299,430000
fighaaa,6710981038585250818,6881467654993988865,#jegalsampaigagal #mahasiswaindonesia #mahasiswabergerak #fypシ,1602216546,34,https://www.tiktok.com/@fighaaa/video/6881467654993988865?lang=en,114900,789,1761,566900
cathyychang,6781377328532325377,6881237013593476353,thank you UPH🥺💖 #racunintiktok #tiktokindonesia #winwithasmile #dkv #dkvuph #nugascheck #stationeryhaul #shopeehaul #fyp #foryou #uph #racunshopee,1602162845,51,https://www.tiktok.com/@cathyychang/video/6881237013593476353?lang=en,104200,1316,1039,576700
miraaa336,6515089076041940994,6874450585047878914,#duet dengan @yosattt #magicscan #AXISERUINAJA #SetinggiBintang #duet #fypシ,1600582758,9,https://www.tiktok.com/@miraaa336/video/6874450585047878914?lang=en,1789,3,9,103800
pratiwi0421,6796618738764792834,6862641405672590594,learn from master @psdn_98 @naruto0919 #fingerdance #tutting #手指舞 #handdance #foryoupage #foryou #fpy #berandaa #tiktok #xyzbca,1597833226,13,https://www.tiktok.com/@pratiwi0421/video/6862641405672590594?lang=en,2925,41,45,129600
_iqbal1999,6671433503026675713,6860140242016423170,Semangat💪untuk kalian yang pejuang LDR🌹❤️💐🤴👸🔱 #hubungan #paling #serem #fyp #fypシ #beranda #tiktok #indonesia,1597250885,15,https://www.tiktok.com/@_iqbal1999/video/6860140242016423170?lang=en,19800,108,176,361200
icharisaa,6790153254766281730,6881452909809159425,yang ada bengek #fypシ #fyp #foryoupage #foryou,1602213114,12,https://www.tiktok.com/@icharisaa/video/6881452909809159425?lang=en,13200,84,386,118800
callmecolll,74176257373,6877532751755627778,,1601300379,59,https://www.tiktok.com/@callmecolll/video/6877532751755627778?lang=en,111300,521,2453,848600
elinesu,6654557946088112130,6868250249027226881,Horror story of @koreandaebakk #Lazada99 #shapeshift #kekuatanhalu #wishfuldrinking #dynamite #btsdynamite #teleport #berbagifakta #samasamaindonesia,1599139130,17,https://www.tiktok.com/@elinesu/video/6868250249027226881?lang=en,38000,31,35,298200
ajinur985,6584929978894958594,6874410426881363201,"Tipe-tipe polisi... ib: @agakugunanang , Full videonya dichannel youtube “AJI NUR” ya #fyp #comedy #lucu",1600573411,35,https://www.tiktok.com/@ajinur985/video/6874410426881363201?lang=en,24900,87,82,370400
iphoo8,6563215012759240705,6880392290431405314,#tiktokpintar #samasamabelajar aslinya ibu dua anak,1601966169,7,https://www.tiktok.com/@iphoo8/video/6880392290431405314?lang=en,1253,2,0,70200
dewimaura,6617565428627816450,6860331103195024641,"#zoommyface ..#pejuanglokal ..jgn marah"" lagi ya... nnti ta cipok mau",1597295322,11,https://www.tiktok.com/@dewimaura/video/6860331103195024641?lang=en,12100,45,143,260800
putrijuni__,6777138461722330114,6867427625350991105,#zoommyface #zoommyface #fypシ #99shopeehaul #fypシ #fypppppppppppppp #fyp #newnormalnewyou #kts_teamkita #fypシ #zoommyface #newnormalnewyou,1598947598,14,https://www.tiktok.com/@putrijuni__/video/6867427625350991105?lang=en,293,0,0,11100
arti....igu,6749547998688740354,6877403163259964673,Eman mo dihapus.....🤭🤭🤭🤭#AWESOMEisUs #samasamadaritiktok #MentosFreshtafet,1601270209,12,https://www.tiktok.com/@arti....igu/video/6877403163259964673?lang=en,1258,6,90,13800
arjuna813,6722080126614209538,6877257712908995841,#AWESOMEisUs #MentosFreshtafet #fyp  ikutan yg lagi viral,1601236343,8,https://www.tiktok.com/@arjuna813/video/6877257712908995841?lang=en,1522,1,26,15600
17agustus00,6812243860589790210,6860675032041950465,#fyp #NewNormalNewYou #pejuangfyp #PejuangLokal #fypシ,1597375400,15,https://www.tiktok.com/@17agustus00/video/6860675032041950465?lang=en,223,1,2,4092
ayu_sonia,6692072824385422338,6852167118645923073,alhmdllh lancar hr ini.sellu di pertemukn dgn manten yg baik .. #fypシツ #fyp #tiktokjateng #tiktokjateng #purwodadigrobogan #makeupku,1595394487,10,https://www.tiktok.com/@ayu_sonia/video/6852167118645923073?lang=en,19200,1014,380,425000
cheryl.cherinta,6861057449764946945,6862936899623881985,,1597902030,12,https://www.tiktok.com/@cheryl.cherinta/video/6862936899623881985?lang=en,159700,14300,1719,2600000
...hans,6852325716262192130,6880163492297460994,"OH iya Makasih Yah Buat yang follow, trus gua folback, trus gua di unfol, ☺#vivoV20FocusOnYou #slowmo #WinWithASmile #fyp #magicscan",1601912895,10,https://www.tiktok.com/@...hans/video/6880163492297460994?lang=en,10200,102,443,84900
duwiapriyani01,6798463797688271874,6852112442449726721,Canda sayang😜#samasamadirumah #beranda #fyp #foryoupage #xyzabc #SuperNova7Gue #viral #0324mytest #samasamabelajar,1595381761,12,https://www.tiktok.com/@duwiapriyani01/video/6852112442449726721?lang=en,14500,324,495,116900
