user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
washingtonpost,6665748878039842822,6881699342453869830,Stay safe! The #coronavirus is still out there and a vaccine has not yet been approved.,1602270525,11,https://www.tiktok.com/@washingtonpost/video/6881699342453869830?lang=en,17000,524,150,79000
washingtonpost,6665748878039842822,6881634145735412998,"Wear a mask with your invisibility cloaks, folks. #Coronavirus #WitchTok",1602255373,16,https://www.tiktok.com/@washingtonpost/video/6881634145735412998?lang=en,30000,380,144,127200
washingtonpost,6665748878039842822,6881093937080192262,Learned about loyalty during the #vpdebate,1602129588,9,https://www.tiktok.com/@washingtonpost/video/6881093937080192262?lang=en,5216,49,81,39900
washingtonpost,6665748878039842822,6881079676639481094,Got awkward really quick in my apartment #swineflu #vpdebate,1602126256,9,https://www.tiktok.com/@washingtonpost/video/6881079676639481094?lang=en,37800,235,1556,532500
washingtonpost,6665748878039842822,6881073792534220038,Vice President Mike Pence had a fly on his head during the #VPdebate,1602124873,9,https://www.tiktok.com/@washingtonpost/video/6881073792534220038?lang=en,21000,567,354,129100
washingtonpost,6665748878039842822,6880973932820729093,Come💃on🕺shake💃your🕺body💃do🕺that💃debate coverage🕺know💃you🕺can’t💃control🕺yourself💃any🕺longer💃🕺💃🕺💃,1602101623,8,https://www.tiktok.com/@washingtonpost/video/6880973932820729093?lang=en,95900,661,1260,475000
washingtonpost,6665748878039842822,6880955431854836997,When he said “stay at home” I felt that #BusyMan,1602097319,8,https://www.tiktok.com/@washingtonpost/video/6880955431854836997?lang=en,6176,66,50,52200
washingtonpost,6665748878039842822,6880937524357778693,Why Zoom with your coworkers when you can talk to their kids? #ZoomSchool,1602093158,16,https://www.tiktok.com/@washingtonpost/video/6880937524357778693?lang=en,10900,97,67,59600
washingtonpost,6665748878039842822,6880574034904468742,Do not miss this #WashingtonDC,1602008526,19,https://www.tiktok.com/@washingtonpost/video/6880574034904468742?lang=en,31000,585,310,147200
washingtonpost,6665748878039842822,6880532894280961285,"We love you, Nana 2. #WorkingFromHome #SevenMonthsLater",1601998963,10,https://www.tiktok.com/@washingtonpost/video/6880532894280961285?lang=en,98400,7150,554,606000
washingtonpost,6665748878039842822,6880225325423283462,The editorial section is separate from the news section of a newspaper #Newspaper,1601927326,24,https://www.tiktok.com/@washingtonpost/video/6880225325423283462?lang=en,26400,278,250,129600
washingtonpost,6665748878039842822,6880170326118993158,A pot of coffee a day keeps the doctor awake #WaPoTikTok,1601914543,16,https://www.tiktok.com/@washingtonpost/video/6880170326118993158?lang=en,7380,79,116,42800
washingtonpost,6665748878039842822,6879181229447580933,Imagine telling someone a few years from now that this TikTok led to your job at the Washington Post #interns #internship,1601684229,20,https://www.tiktok.com/@washingtonpost/video/6879181229447580933?lang=en,13200,206,633,76000
washingtonpost,6665748878039842822,6879120361393310981,"Everyone say bye to Madhulika, a legend 👋",1601670057,17,https://www.tiktok.com/@washingtonpost/video/6879120361393310981?lang=en,17500,38,104,91800
washingtonpost,6665748878039842822,6879093948627832070,What a year this month has been.,1601663911,11,https://www.tiktok.com/@washingtonpost/video/6879093948627832070?lang=en,14500,495,147,84000
washingtonpost,6665748878039842822,6879059870658612486,I am not good at #timetraveling. #Coronavirus #Covid19 #PresidentTrump,1601655986,25,https://www.tiktok.com/@washingtonpost/video/6879059870658612486?lang=en,11600,165,103,67100
washingtonpost,6665748878039842822,6878697495392685317,😎😎😎😎😎😎😎😎😯 Reply to @sophhhaaaa,1601571611,8,https://www.tiktok.com/@washingtonpost/video/6878697495392685317?lang=en,9086,11,83,78300
washingtonpost,6665748878039842822,6878683191893429510,Beats me! #Amazon #Drone #Ring #Surveillance #ElfOnTheShelf,1601568290,10,https://www.tiktok.com/@washingtonpost/video/6878683191893429510?lang=en,24900,244,183,126500
washingtonpost,6665748878039842822,6878118202287672581,#PresidentialDebates #Law&Order,1601436732,10,https://www.tiktok.com/@washingtonpost/video/6878118202287672581?lang=en,110100,5106,823,580700
washingtonpost,6665748878039842822,6878100368136424710,Oooooooooooooooooooooooooh #PresidentialDebate,1601432573,14,https://www.tiktok.com/@washingtonpost/video/6878100368136424710?lang=en,163500,6810,3072,1100000
washingtonpost,6665748878039842822,6877951432360774917,There’s a #PresidentialDebate tonight!,1601397910,14,https://www.tiktok.com/@washingtonpost/video/6877951432360774917?lang=en,655100,19500,7490,2800000
washingtonpost,6665748878039842822,6877928049376021766,"Even if you didn’t put any fingers down, subscribe to Hannah’s free newsletter at link in bio! #TheBachelorette",1601392473,26,https://www.tiktok.com/@washingtonpost/video/6877928049376021766?lang=en,3187,49,27,70100
washingtonpost,6665748878039842822,6877631609835654405,"Make sure to check on your humans, dogs.  #petsoftiktok #humancam",1601323428,15,https://www.tiktok.com/@washingtonpost/video/6877631609835654405?lang=en,9055,52,47,76500
washingtonpost,6665748878039842822,6877577668598975749,@turbotax,1601310890,29,https://www.tiktok.com/@washingtonpost/video/6877577668598975749?lang=en,12500,180,108,78700
washingtonpost,6665748878039842822,6876487695594540294,Lola said she wants to be a cowgirl for Halloween #petsoftiktok #petthings,1601057104,9,https://www.tiktok.com/@washingtonpost/video/6876487695594540294?lang=en,10700,72,64,71500
washingtonpost,6665748878039842822,6876444943267761414,Haha what news 😀,1601047173,14,https://www.tiktok.com/@washingtonpost/video/6876444943267761414?lang=en,4609,114,64,34200
washingtonpost,6665748878039842822,6876160126676520198,Robert Samuels discusses the Breonna Taylor decision and the resurgence of #BlackLivesMatter protests that followed,1600980828,44,https://www.tiktok.com/@washingtonpost/video/6876160126676520198?lang=en,13000,290,288,59100
washingtonpost,6665748878039842822,6876075663695023365,A 2020 #ApartmentTour,1600961184,18,https://www.tiktok.com/@washingtonpost/video/6876075663695023365?lang=en,6093,59,82,40300
